"filename", "language", "TypeScript", "SCSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\app-routing.module.ts", "TypeScript", 47, 0, 0, 0, 5, 5, 57
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\app.component.html", "HTML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\app.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\app.component.spec.ts", "TypeScript", 25, 0, 0, 0, 0, 5, 30
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\app.component.ts", "TypeScript", 24, 0, 0, 0, 2, 4, 30
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\app.module.ts", "TypeScript", 37, 0, 0, 0, 3, 2, 42
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\auth\auth-routing.module.ts", "TypeScript", 13, 0, 0, 0, 0, 3, 16
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\auth\auth.module.ts", "TypeScript", 16, 0, 0, 0, 0, 5, 21
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\auth\interceptors\auth.interceptor.ts", "TypeScript", 38, 0, 0, 0, 5, 5, 48
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\auth\login\login.component.html", "HTML", 0, 0, 0, 76, 38, 9, 123
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\auth\login\login.component.scss", "SCSS", 0, 5, 0, 0, 1, 4, 10
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\auth\login\login.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 5, 22
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\auth\login\login.component.ts", "TypeScript", 59, 0, 0, 0, 11, 11, 81
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\auth\register\password-match.validator.ts", "TypeScript", 9, 0, 0, 0, 3, 3, 15
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\auth\register\register.component.html", "HTML", 0, 0, 0, 110, 29, 16, 155
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\auth\register\register.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\auth\register\register.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 5, 22
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\auth\register\register.component.ts", "TypeScript", 69, 0, 0, 0, 13, 13, 95
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\auth\services\auth.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 5, 17
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\auth\services\auth.service.ts", "TypeScript", 105, 0, 0, 0, 18, 20, 143
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\cart\cart-routing.module.ts", "TypeScript", 9, 0, 0, 0, 0, 3, 12
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\cart\cart.module.ts", "TypeScript", 16, 0, 0, 0, 0, 4, 20
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\cart\components\cart-page\cart-page.component.html", "HTML", 0, 0, 0, 122, 23, 17, 162
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\cart\components\cart-page\cart-page.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\cart\components\cart-page\cart-page.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 5, 22
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\cart\components\cart-page\cart-page.component.ts", "TypeScript", 118, 0, 0, 0, 19, 21, 158
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\cart\models\icart-item.ts", "TypeScript", 9, 0, 0, 0, 11, 1, 21
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\cart\models\icart.ts", "TypeScript", 21, 0, 0, 0, 21, 3, 45
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\cart\services\cart.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 5, 17
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\cart\services\cart.service.ts", "TypeScript", 106, 0, 0, 0, 64, 21, 191
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\dashboard\dashboard-routing.module.ts", "TypeScript", 11, 0, 0, 0, 0, 3, 14
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\dashboard\dashboard.module.ts", "TypeScript", 16, 0, 0, 0, 0, 4, 20
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\dashboard\home\home.component.html", "HTML", 0, 0, 0, 270, 44, 12, 326
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\dashboard\home\home.component.scss", "SCSS", 0, 45, 0, 0, 0, 10, 55
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\dashboard\home\home.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 5, 22
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\dashboard\home\home.component.ts", "TypeScript", 27, 0, 0, 0, 0, 9, 36
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\features.module.ts", "TypeScript", 14, 0, 0, 0, 2, 1, 17
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\products\components\product-detail\product-detail.component.html", "HTML", 0, 0, 0, 58, 9, 4, 71
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\products\components\product-detail\product-detail.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\products\components\product-detail\product-detail.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 5, 22
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\products\components\product-detail\product-detail.component.ts", "TypeScript", 92, 0, 0, 0, 9, 13, 114
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\products\components\product-list\product-list.component.html", "HTML", 0, 0, 0, 59, 10, 8, 77
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\products\components\product-list\product-list.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\products\components\product-list\product-list.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 5, 22
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\products\components\product-list\product-list.component.ts", "TypeScript", 131, 0, 0, 0, 17, 15, 163
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\products\model\icategory.ts", "TypeScript", 8, 0, 0, 0, 0, 1, 9
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\products\model\iproduct.ts", "TypeScript", 17, 0, 0, 0, 0, 2, 19
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\products\model\iunit.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 8
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\products\products-routing.module.ts", "TypeScript", 24, 0, 0, 0, 5, 3, 32
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\products\products.module.ts", "TypeScript", 18, 0, 0, 0, 4, 2, 24
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\products\services\category\category.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 5, 17
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\products\services\category\category.service.ts", "TypeScript", 27, 0, 0, 0, 1, 12, 40
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\products\services\product\product.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 5, 17
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\features\products\services\product\product.service.ts", "TypeScript", 47, 0, 0, 0, 11, 12, 70
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\shared\components\notpagefound\notpagefound.component.html", "HTML", 0, 0, 0, 8, 0, 0, 8
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\shared\components\notpagefound\notpagefound.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\shared\components\notpagefound\notpagefound.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 5, 22
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\shared\components\notpagefound\notpagefound.component.ts", "TypeScript", 8, 0, 0, 0, 0, 3, 11
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\shared\dtos\pagination.dto.ts", "TypeScript", 4, 0, 0, 0, 11, 2, 17
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\shared\header\header.component.html", "HTML", 0, 0, 0, 65, 7, 8, 80
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\shared\header\header.component.scss", "SCSS", 0, 12, 0, 0, 0, 2, 14
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\shared\header\header.component.ts", "TypeScript", 48, 0, 0, 0, 13, 11, 72
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\shared\layouts\main-layout.component.html", "HTML", 0, 0, 0, 5, 3, 2, 10
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\shared\layouts\main-layout.component.scss", "SCSS", 0, 21, 0, 0, 7, 4, 32
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\shared\layouts\main-layout.component.ts", "TypeScript", 21, 0, 0, 0, 7, 5, 33
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\shared\models\iuser.ts", "TypeScript", 7, 0, 0, 0, 6, 1, 14
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\shared\pages\privacy-policy\privacy-policy.component.html", "HTML", 0, 0, 0, 195, 3, 14, 212
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\shared\pages\privacy-policy\privacy-policy.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\shared\pages\privacy-policy\privacy-policy.component.ts", "TypeScript", 13, 0, 0, 0, 3, 3, 19
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\shared\pages\terms-conditions\terms-conditions.component.html", "HTML", 0, 0, 0, 125, 6, 21, 152
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\shared\pages\terms-conditions\terms-conditions.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\shared\pages\terms-conditions\terms-conditions.component.ts", "TypeScript", 13, 0, 0, 0, 3, 3, 19
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\shared\services\notification.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 5, 17
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\shared\services\notification.service.ts", "TypeScript", 21, 0, 0, 0, 4, 7, 32
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\shared\shared.module.ts", "TypeScript", 40, 0, 0, 0, 1, 1, 42
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\shared\sidebar\sidebar.component.html", "HTML", 0, 0, 0, 30, 0, 0, 30
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\shared\sidebar\sidebar.component.scss", "SCSS", 0, 36, 0, 0, 0, 6, 42
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\shared\sidebar\sidebar.component.ts", "TypeScript", 10, 0, 0, 0, 0, 3, 13
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\app\shared\sidebar\sidebar.service.ts", "TypeScript", 38, 0, 0, 0, 8, 7, 53
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\assets\flujo.md", "Markdown", 0, 0, 65, 0, 0, 4, 69
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\assets\text-flujo.md", "Markdown", 0, 0, 45, 0, 0, 11, 56
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\environments\environment.prod.ts", "TypeScript", 4, 0, 0, 0, 1, 0, 5
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\environments\environment.ts", "TypeScript", 4, 0, 0, 0, 1, 0, 5
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\index.html", "HTML", 0, 0, 0, 13, 0, 5, 18
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\main.ts", "TypeScript", 4, 0, 0, 0, 1, 5, 10
"c:\Users\Usuario\Desktop\Practica Angular\14-front\src\styles.scss", "SCSS", 0, 43, 0, 0, 25, 11, 79
"Total", "-", 1575, 162, 110, 1137, 488, 493, 3965